codigo_act,cve_mun,fecha_alta,municipio,per_ocu,nombre_act,nom_estab,id
332320,110,2010-07,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,CERRAJERIA PILLO,1849858
332320,106,2010-07,Tuxcacuesco,0 a 5 personas,FabricaciÛn de productos de herrerÌa,CERRAJERIA SIN NOMBRE,1857709
332320,110,2010-07,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,CERRAJERÕA UNI”N,1850289
332320,110,2019-11,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,FABRICA DE PRODUCTOS DE HERRERIA SIN NOMBRE,8995995
332320,110,2010-07,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,HERRERIA GUADALUPANA,1850288
332320,110,2019-11,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,HERRERIA HERMANOS VERA,8447921
332320,110,2021-05,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,HERRERIA JIMENEZ,9345543
332320,110,2019-11,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,HERRERIA LA ZORRA,8447918
332320,102,2010-07,Tonaya,0 a 5 personas,FabricaciÛn de productos de herrerÌa,HERRERIA PRECIADO,1857057
332320,110,2010-07,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,HERRERÕA SIN NOMBRE,1964444
332320,110,2010-07,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,HERRERIA SIN NOMBRE,1850540
332320,110,2019-11,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,MULTISERVICIOS Y CERRAJERIA PE—A,8864179
332320,110,2014-12,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,TALLER DE HERRERÕA JIMENEZ,1770057
332320,110,2010-07,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,TALLER DE HERRERIA Y SOLDADURA LA ZONA,1849847
332320,110,2019-11,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,TALLER DE SOLDADURA,7480029
332320,110,2019-11,UniÛn de Tula,0 a 5 personas,FabricaciÛn de productos de herrerÌa,TALLER DE SOLDADURA,8773684
467111,102,2010-07,Tonaya,0 a 5 personas,Comercio al por menor en ferreterÌas y tlapalerÌas,ACEROS TONAYA,1857019
467111,110,2010-07,UniÛn de Tula,0 a 5 personas,Comercio al por menor en ferreterÌas y tlapalerÌas,ACEROS Y MATERIALES CHAVEZ,1850162
468211,102,2019-11,Tonaya,0 a 5 personas,"Comercio al por menor de partes y refacciones nuevas para automÛviles, camionetas y camiones",AUTOPARTES CHRISTIAN,7480129
467111,102,2010-07,Tonaya,0 a 5 personas,Comercio al por menor en ferreterÌas y tlapalerÌas,FERRETERIA BERTHA,1857116
467111,106,2010-07,Tuxcacuesco,0 a 5 personas,Comercio al por menor en ferreterÌas y tlapalerÌas,FERRETERIA LA HERMITA,1857659
467111,110,2014-12,UniÛn de Tula,0 a 5 personas,Comercio al por menor en ferreterÌas y tlapalerÌas,FERRETERÕA LA UNIDAD,1770008
467111,106,2014-12,Tuxcacuesco,0 a 5 personas,Comercio al por menor en ferreterÌas y tlapalerÌas,FERRETERIA OBREGON,1759766
467111,110,2019-11,UniÛn de Tula,0 a 5 personas,Comercio al por menor en ferreterÌas y tlapalerÌas,FERRETERIA OSORIO,7479799
467111,110,2019-11,UniÛn de Tula,6 a 10 personas,Comercio al por menor en ferreterÌas y tlapalerÌas,FERRETERIA SOLUCION TOTAL,8995942
